job_id,order_id,resource_id,maquina,inicio,fim,not_before_date,deadline,sub_machine,Status_Processed,delay,tempo_processamento
193,148411,2923,coldboxgasado_coldboxpequena,2025-11-03 04:00:00,2025-11-03 04:10:00,2025-11-03,2025-11-05,0,,0.0,10
284,148653,281,coldboxgasado_coldboxpequena,2025-11-03 04:15:00,2025-11-03 04:35:00,2025-11-03,2025-11-03,0,,0.0,20
202,148441,679,coldboxgasado_coldboxpequena,2025-11-03 04:40:00,2025-11-03 04:50:00,2025-11-03,2025-11-03,0,,0.0,10
253,148500,679,coldboxgasado_coldboxpequena,2025-11-03 04:50:00,2025-11-03 05:35:00,2025-11-03,2025-11-03,0,,0.0,45
188,148384,2906,coldboxgasado_coldboxpequena,2025-11-03 05:40:00,2025-11-03 06:15:00,2025-11-03,2025-11-03,0,,0.0,35
151,147133,838,coldboxgasado_coldboxpequena,2025-11-03 06:20:00,2025-11-03 07:10:00,2025-11-03,2025-11-04,0,,0.0,50
150,147133,837,coldboxgasado_coldboxpequena,2025-11-03 07:15:00,2025-11-03 08:10:00,2025-11-03,2025-11-04,0,,0.0,55
192,148411,348,coldboxgasado_coldboxpequena,2025-11-03 08:15:00,2025-11-03 08:55:00,2025-11-03,2025-11-05,0,,0.0,40
195,148412,348,coldboxgasado_coldboxpequena,2025-11-03 08:55:00,2025-11-03 10:00:00,2025-11-03,2025-11-05,0,,0.0,65
191,148411,347,coldboxgasado_coldboxpequena,2025-11-03 10:05:00,2025-11-03 12:40:00,2025-11-03,2025-11-05,0,,0.0,155
194,148412,347,coldboxgasado_coldboxpequena,2025-11-03 12:40:00,2025-11-03 16:45:00,2025-11-03,2025-11-05,0,,0.0,245
190,148403,2906,coldboxgasado_coldboxpequena,2025-11-04 04:00:00,2025-11-04 04:05:00,2025-11-04,2025-11-06,0,,0.0,5
186,147395,2906,coldboxgasado_coldboxpequena,2025-11-04 04:05:00,2025-11-04 04:50:00,2025-11-04,2025-11-06,0,,0.0,45
217,148451,2906,coldboxgasado_coldboxpequena,2025-11-04 04:50:00,2025-11-04 05:35:00,2025-11-04,2025-11-06,0,,0.0,45
255,148517,335,coldboxgasado_coldboxpequena,2025-11-04 05:40:00,2025-11-04 08:15:00,2025-11-04,2025-11-06,0,,0.0,155
219,148453,2907,coldboxgasado_coldboxpequena,2025-11-05 04:00:00,2025-11-05 04:35:00,2025-11-05,2025-11-07,0,,0.0,35
218,148452,2906,coldboxgasado_coldboxpequena,2025-11-05 04:40:00,2025-11-05 05:25:00,2025-11-05,2025-11-07,0,,0.0,45
34,146881,1843,coldboxgasado_coldboxpequena,2025-11-05 05:30:00,2025-11-05 10:10:00,2025-11-05,2025-11-07,0,,0.0,280
1,146345,2907,coldboxgasado_coldboxpequena,2025-11-06 04:00:00,2025-11-06 04:40:00,2025-11-06,2025-11-08,0,,0.0,40
0,146344,2907,coldboxgasado_coldboxpequena,2025-11-06 04:40:00,2025-11-06 05:20:00,2025-11-06,2025-11-08,0,,0.0,40
274,148587,2515,coldboxgasado_coldboxpequena,2025-11-06 05:25:00,2025-11-06 07:45:00,2025-11-06,2025-11-08,0,,0.0,140
275,148587,2516,coldboxgasado_coldboxpequena,2025-11-06 07:50:00,2025-11-06 10:10:00,2025-11-06,2025-11-08,0,,0.0,140
184,147343,281,coldboxgasado_coldboxpequena,2025-11-06 10:15:00,2025-11-06 14:35:00,2025-11-06,2025-11-08,0,,0.0,260
265,148521,2833,pepset_chao,,,2025-11-11,2025-11-11,0,Erro not before posterior ao ultimo dia,0.0,0
285,148666,1169,pepset_vibrado,2025-11-05 04:00:00,2025-11-05 05:20:00,2025-11-05,2025-11-06,0,,0.0,80
52,147070,2694,pepset_vibrado,2025-11-05 05:20:00,2025-11-05 08:00:00,2025-11-05,2025-11-07,0,,0.0,160
53,147071,2694,pepset_vibrado,2025-11-05 08:00:00,2025-11-05 13:20:00,2025-11-05,2025-11-07,0,,0.0,320
55,147073,2694,pepset_vibrado,2025-11-05 13:30:00,2025-11-05 18:50:00,2025-11-05,2025-11-07,0,,0.0,320
185,147394,1948,pepset_vibrado,2025-11-06 04:00:00,2025-11-06 06:40:00,2025-11-06,2025-11-08,0,,0.0,160
72,147077,2694,pepset_vibrado,2025-11-06 06:50:00,2025-11-06 12:10:00,2025-11-05,2025-11-07,0,,0.0,320
54,147072,2694,pepset_vibrado,2025-11-06 12:10:00,2025-11-06 17:30:00,2025-11-05,2025-11-07,0,,0.0,320
82,147078,2694,pepset_vibrado,2025-11-07 04:00:00,2025-11-07 09:20:00,2025-11-05,2025-11-07,0,,0.0,320
112,147081,2694,pepset_vibrado,2025-11-07 09:45:00,2025-11-07 15:05:00,2025-11-06,2025-11-08,0,,0.0,320
57,147075,2694,pepset_vibrado,2025-11-07 15:05:00,2025-11-07 20:25:00,2025-11-05,2025-11-07,0,,0.0,320
